name,n
Lucille,"1,118"
Amiyah,"1,104"
Annie,"1,098"
Alexandria,"1,096"
Myla,"1,089"
Vivienne,"1,087"
Kiara,"1,083"
Alani,"1,069"
Margot,"1,061"
Adelaide,"1,057"
Briella,"1,054"
Brynn,"1,054"
Saylor,"1,048"
Destiny,"1,037"
Amari,"1,032"
Evelynn,"1,023"
Haven,"1,017"
Phoenix,"1,017"
Izabella,"1,014"
Kaia,"1,007"
Lilliana,"1,004"
Harlow,"1,001"
Alessandra,"1,000"
Madilyn,997
Nina,995
Logan,990
Adelynn,989
Amina,984
Kate,982
Fatima,979
Samara,978
Winter,977
Giselle,975
Evie,968
Arielle,964
Jessica,962
Talia,962
Leia,953
Gabriela,952
Gracelyn,949
Lexi,949
Laura,944
Makenzie,941
Melissa,930
Royalty,926
Rylie,921
Raelyn,914
Gabrielle,911
Paris,909
Daleyza,906
Joy,906
Maisie,902
Oakley,902
Ariyah,901
Kailani,898
Alayah,892
Stephanie,891
Amora,887
Willa,885
Gracelynn,884
Elle,883
Keira,882
Tatum,880
Veronica,875
Milani,872
Felicity,865
Paislee,864
Allie,860
Nylah,858
Ariah,857
Cassidy,857
Lyric,857
Madeleine,856
Miracle,854
Gwendolyn,845
Octavia,844
Dahlia,843
Heidi,839
Celeste,835
Remington,832
Makenna,828
Everlee,826
Scarlet,825
Esmeralda,820
Maci,820
Lainey,816
Jacqueline,815
Kira,812
Lana,811
Brinley,806
Demi,806
Ophelia,804
Lennon,793
Reign,787
Bristol,786
Sabrina,782
Alaya,780
Jennifer,780
Kenzie,779
Angel,777
Luciana,777
Anaya,775
Hallie,774
Ryan,772
Camryn,771
Kinley,767
Daniella,766
Lilith,766
Blair,765
Amanda,763
Collins,763
Jordan,763
Maliyah,762
Rosemary,760
Cataleya,758
Kaylani,758
Gia,755
Alison,753
Leighton,752
Nadia,752
Sutton,750
Carolina,749
Skye,749
Alicia,748
Regina,748
Viviana,748
Yaretzi,748
Heaven,743
Serena,743
Raven,740
Emely,739
Carmen,738
Wren,738
Helen,737
Charleigh,735
Danielle,733
Daphne,733
Esme,733
Nayeli,733
Maddison,732
Sarai,725
Dylan,724
Frances,715
Elisa,710
Mabel,709
Skyler,709
Jenna,703
Emelia,699
Kaitlyn,696
Miranda,696
Marlee,694
Matilda,690
Selah,690
Jolene,688
Wynter,688
Hattie,687
Bianca,682
Haley,681
Lorelei,679
Mira,679
Braelynn,677
Annalise,676
Madelynn,676
Katie,674
Palmer,672
Aylin,671
Elliott,670
Kyla,669
Rory,669
Avianna,668
Liana,665
Shiloh,665
Kalani,664
Jada,663
Kelsey,661
Elianna,659
Jimena,659
Kora,658
Kamryn,655
Ainsley,654
Averie,652
Kensley,652
Helena,651
Holly,649
Emory,648
Macie,648
Amber,647
Zariah,646
Erin,644
Eve,644
Kathryn,644
Renata,643
Kayleigh,641
Emmy,639
Celine,638
Francesca,636
Fernanda,634
April,633
Shelby,629
Poppy,628
Colette,626
Meadow,626
Nia,626
Sierra,626
Cheyenne,624
Edith,623
Oaklynn,620
Kennedi,619
Abby,618
Danna,618
Jazlyn,618
Alessia,617
Mikayla,617
Alondra,616
Addilyn,614
Leona,612
Mckinley,612
Carter,610
Maren,608
Sylvia,605
Alejandra,598
Ariya,597
Astrid,597
Adrianna,596
Charli,593
Imani,592
Maryam,592
Christina,590
Stevie,585
Maia,584
Adelina,582
Dream,581
Aisha,574
Alanna,574
Itzel,574
Azalea,571
Katelyn,571
Kylee,570
Leslie,570
Madilynn,569
Myra,568
Virginia,567
Remy,566
Hanna,565
Aleah,564
Jaliyah,564
Antonella,563
Aviana,561
Cameron,561
Chelsea,556
Cecelia,555
Alia,554
Mae,554
Cadence,553
Emberly,552
Charley,548
Janelle,548
Mallory,546
Kaliyah,545
Elaine,544
Gloria,544
Jayleen,543
Lorelai,543
Malaysia,543
Bethany,542
Briana,542
Beatrice,541
Dorothy,540
Rosie,540
Jemma,538
Noa,536
Carly,535
Mariam,531
Anne,530
Karina,529
