Rank,Track,Artist,Streams,Date,WeekDay,Month
1,The Box,Roddy Ricch,1812103,2020-01-01,Wed,Jan
2,ROXANNE,Arizona Zervas,1400495,2020-01-01,Wed,Jan
3,Circles,Post Malone,1186861,2020-01-01,Wed,Jan
4,BOP,DaBaby,1130123,2020-01-01,Wed,Jan
5,Bandit (with YoungBoy Never Broke Again),Juice WRLD,968612,2020-01-01,Wed,Jan
6,Dance Monkey,Tones And I,916609,2020-01-01,Wed,Jan
7,Futsal Shuffle 2020,Lil Uzi Vert,893092,2020-01-01,Wed,Jan
8,Falling,Trevor Daniel,872244,2020-01-01,Wed,Jan
9,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",786856,2020-01-01,Wed,Jan
10,Ballin' (with Roddy Ricch),Mustard,772662,2020-01-01,Wed,Jan
11,bad guy,Billie Eilish,717321,2020-01-01,Wed,Jan
12,everything i wanted,Billie Eilish,691325,2020-01-01,Wed,Jan
13,Suicidal,YNW Melly,682998,2020-01-01,Wed,Jan
14,OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott",680820,2020-01-01,Wed,Jan
15,Adore You,Harry Styles,676253,2020-01-01,Wed,Jan
16,Blinding Lights,The Weeknd,670492,2020-01-01,Wed,Jan
17,HIGHEST IN THE ROOM,Travis Scott,654571,2020-01-01,Wed,Jan
18,hot girl bummer,blackbear,634027,2020-01-01,Wed,Jan
19,Don't Start Now,Dua Lipa,622304,2020-01-01,Wed,Jan
20,My Oh My (feat. DaBaby),Camila Cabello,621539,2020-01-01,Wed,Jan
21,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,620284,2020-01-01,Wed,Jan
22,Heartless,The Weeknd,613239,2020-01-01,Wed,Jan
23,Suge,DaBaby,607559,2020-01-01,Wed,Jan
24,VIBEZ,DaBaby,605164,2020-01-01,Wed,Jan
25,Truth Hurts,Lizzo,599849,2020-01-01,Wed,Jan
26,Woah,Lil Baby,596844,2020-01-01,Wed,Jan
27,Watermelon Sugar,Harry Styles,583625,2020-01-01,Wed,Jan
28,No Idea,Don Toliver,580241,2020-01-01,Wed,Jan
29,Lucid Dreams,Juice WRLD,579125,2020-01-01,Wed,Jan
30,Memories,Maroon 5,578449,2020-01-01,Wed,Jan
31,Someone You Loved,Lewis Capaldi,576490,2020-01-01,Wed,Jan
32,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,564699,2020-01-01,Wed,Jan
33,Ransom,Lil Tecca,521428,2020-01-01,Wed,Jan
34,Robbery,Juice WRLD,521072,2020-01-01,Wed,Jan
35,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,513884,2020-01-01,Wed,Jan
36,Money In The Grave (Drake ft. Rick Ross),Drake,486281,2020-01-01,Wed,Jan
37,223's (feat. 9lokknine),YNW Melly,485460,2020-01-01,Wed,Jan
38,Señorita,"Shawn Mendes, Camila Cabello",485432,2020-01-01,Wed,Jan
39,Lose You To Love Me,Selena Gomez,476592,2020-01-01,Wed,Jan
40,No Guidance (feat. Drake),Chris Brown,471141,2020-01-01,Wed,Jan
41,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,454923,2020-01-01,Wed,Jan
42,Wow.,Post Malone,448286,2020-01-01,Wed,Jan
43,Stuck In A Dream (feat. Gunna),Lil Mosey,444279,2020-01-01,Wed,Jan
44,Goodbyes (Feat. Young Thug),Post Malone,443078,2020-01-01,Wed,Jan
45,Had Enough (feat. Quavo & Offset),Don Toliver,431952,2020-01-01,Wed,Jan
46,Death,"Trippie Redd, DaBaby",431022,2020-01-01,Wed,Jan
47,MIDDLE CHILD,J. Cole,428798,2020-01-01,Wed,Jan
48,rockstar (feat. 21 Savage),Post Malone,418736,2020-01-01,Wed,Jan
49,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,414501,2020-01-01,Wed,Jan
50,"10,000 Hours (with Justin Bieber)",Dan + Shay,403337,2020-01-01,Wed,Jan
51,"thank u, next",Ariana Grande,396198,2020-01-01,Wed,Jan
52,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",394518,2020-01-01,Wed,Jan
53,7 rings,Ariana Grande,392380,2020-01-01,Wed,Jan
54,SICKO MODE,Travis Scott,391992,2020-01-01,Wed,Jan
55,Make No Sense,YoungBoy Never Broke Again,388529,2020-01-01,Wed,Jan
56,Start Wit Me (feat. Gunna),Roddy Ricch,386865,2020-01-01,Wed,Jan
57,WHAT TO DO? (feat. Don Toliver),"JACKBOYS, Travis Scott",386759,2020-01-01,Wed,Jan
58,Camelot,NLE Choppa,383572,2020-01-01,Wed,Jan
59,God's Plan,Drake,382228,2020-01-01,Wed,Jan
60,Falling,Harry Styles,372181,2020-01-01,Wed,Jan
61,GANG GANG,"JACKBOYS, Sheck Wes",370967,2020-01-01,Wed,Jan
62,Talk (feat. Disclosure),Khalid,370536,2020-01-01,Wed,Jan
63,All Girls Are The Same,Juice WRLD,370106,2020-01-01,Wed,Jan
64,Happier,"Marshmello, Bastille",361184,2020-01-01,Wed,Jan
65,Yellow Hearts,Ant Saunders,360586,2020-01-01,Wed,Jan
66,Baby (Lil Baby feat. DaBaby),Quality Control,358487,2020-01-01,Wed,Jan
67,Vete,Bad Bunny,357508,2020-01-01,Wed,Jan
68,Legends,Juice WRLD,355716,2020-01-01,Wed,Jan
69,Let Me Know (I Wonder Why Freestyle),Juice WRLD,354190,2020-01-01,Wed,Jan
70,The London (feat. J. Cole & Travis Scott),Young Thug,351395,2020-01-01,Wed,Jan
71,Pop Out (feat. Lil Tjay),Polo G,349367,2020-01-01,Wed,Jan
72,Beautiful People (feat. Khalid),Ed Sheeran,349021,2020-01-01,Wed,Jan
73,Say So,Doja Cat,347513,2020-01-01,Wed,Jan
74,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,344726,2020-01-01,Wed,Jan
75,SUGAR,BROCKHAMPTON,343110,2020-01-01,Wed,Jan
76,ORANGE SODA,BaKeem,339850,2020-01-01,Wed,Jan
77,Going Bad (feat. Drake),Meek Mill,339587,2020-01-01,Wed,Jan
78,VALENTINO,24kGoldn,338264,2020-01-01,Wed,Jan
79,Girls Like You (feat. Cardi B),Maroon 5,338256,2020-01-01,Wed,Jan
80,Drip Too Hard (Lil Baby & Gunna),Lil Baby,337258,2020-01-01,Wed,Jan
81,Tusa,"KAROL G, Nicki Minaj",333055,2020-01-01,Wed,Jan
82,Peta (feat. Meek Mill),Roddy Ricch,332763,2020-01-01,Wed,Jan
83,I Like It,"Cardi B, Bad Bunny, J Balvin",328206,2020-01-01,Wed,Jan
84,Murder On My Mind,YNW Melly,327911,2020-01-01,Wed,Jan
85,Cash Shit (feat. DaBaby),Megan Thee Stallion,327285,2020-01-01,Wed,Jan
86,Closer,"The Chainsmokers, Halsey",327165,2020-01-01,Wed,Jan
87,when the party's over,Billie Eilish,325109,2020-01-01,Wed,Jan
88,Lights Up,Harry Styles,321018,2020-01-01,Wed,Jan
89,Hate Me (with Juice WRLD),Ellie Goulding,320242,2020-01-01,Wed,Jan
90,Panini,Lil Nas X,319353,2020-01-01,Wed,Jan
91,GOODMORNINGTOKYO!,TOKYO’S REVENGE,319259,2020-01-01,Wed,Jan
92,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,318732,2020-01-01,Wed,Jan
93,Lalala,"Y2K, bbno$",317887,2020-01-01,Wed,Jan
94,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",317368,2020-01-01,Wed,Jan
95,Hot (feat. Gunna),Young Thug,317050,2020-01-01,Wed,Jan
96,EARFQUAKE,"Tyler, The Creator",314235,2020-01-01,Wed,Jan
97,Better Now,Post Malone,311406,2020-01-01,Wed,Jan
98,Juice,Lizzo,308722,2020-01-01,Wed,Jan
99,Into the Unknown,"Idina Menzel, AURORA",308456,2020-01-01,Wed,Jan
100,Enemies (feat. DaBaby),Post Malone,308049,2020-01-01,Wed,Jan
101,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,307010,2020-01-01,Wed,Jan
102,SAD!,XXXTENTACION,306974,2020-01-01,Wed,Jan
103,Sucker,Jonas Brothers,305864,2020-01-01,Wed,Jan
104,SLOW DANCING IN THE DARK,Joji,303492,2020-01-01,Wed,Jan
105,Juicy,"Doja Cat, Tyga",302383,2020-01-01,Wed,Jan
106,6 Kiss,"Trippie Redd, Juice WRLD, YNW Melly",301865,2020-01-01,Wed,Jan
107,Shape of You,Ed Sheeran,299544,2020-01-01,Wed,Jan
108,Don't Stop Me Now - 2011 Mix,Queen,299108,2020-01-01,Wed,Jan
109,I Don't Care (with Justin Bieber),Ed Sheeran,297299,2020-01-01,Wed,Jan
110,Armed And Dangerous,Juice WRLD,289230,2020-01-01,Wed,Jan
111,Young Dumb & Broke,Khalid,287460,2020-01-01,Wed,Jan
112,lovely (with Khalid),Billie Eilish,287411,2020-01-01,Wed,Jan
113,How Do You Sleep?,Sam Smith,287064,2020-01-01,Wed,Jan
114,F.N,Lil Tjay,283736,2020-01-01,Wed,Jan
115,The Middle,"Zedd, Maren Morris, Grey",281430,2020-01-01,Wed,Jan
116,Good as Hell,Lizzo,280929,2020-01-01,Wed,Jan
117,Graveyard,Halsey,280299,2020-01-01,Wed,Jan
118,One Dance,"Drake, WizKid, Kyla",280073,2020-01-01,Wed,Jan
119,July,Noah Cyrus,279670,2020-01-01,Wed,Jan
120,Ransom (with Juice WRLD) - Remix,Lil Tecca,277020,2020-01-01,Wed,Jan
121,Trampoline,"SHAED, ZAYN",275852,2020-01-01,Wed,Jan
122,I Fall Apart,Post Malone,274074,2020-01-01,Wed,Jan
123,Feel It Still,Portugal. The Man,271775,2020-01-01,Wed,Jan
124,Panini - DaBaby Remix,Lil Nas X,270827,2020-01-01,Wed,Jan
125,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",270471,2020-01-01,Wed,Jan
126,Lean Wit Me,Juice WRLD,270320,2020-01-01,Wed,Jan
127,Hot Shower,"Chance the Rapper, MadeinTYO, DaBaby",267151,2020-01-01,Wed,Jan
128,Sanguine Paradise,Lil Uzi Vert,266887,2020-01-01,Wed,Jan
129,Hey Ya! - Radio Mix,OutKast,266847,2020-01-01,Wed,Jan
130,XO Tour Llif3,Lil Uzi Vert,266698,2020-01-01,Wed,Jan
131,Wake Me Up,Avicii,264771,2020-01-01,Wed,Jan
132,Hop Off A Jet (feat. Travis Scott),Young Thug,263137,2020-01-01,Wed,Jan
133,Callaita,"Bad Bunny, Tainy",260623,2020-01-01,Wed,Jan
134,goosebumps,Travis Scott,260493,2020-01-01,Wed,Jan
135,Pure Water (with Migos),Mustard,260411,2020-01-01,Wed,Jan
136,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,259345,2020-01-01,Wed,Jan
137,Somebody,"Internet Money, Lil Tecca, A Boogie Wit da Hoodie",258012,2020-01-01,Wed,Jan
138,High Hopes,Panic! At The Disco,257896,2020-01-01,Wed,Jan
139,Without Me,Halsey,257676,2020-01-01,Wed,Jan
140,Heart On Ice,Rod Wave,257403,2020-01-01,Wed,Jan
141,Jocelyn Flores,XXXTENTACION,256998,2020-01-01,Wed,Jan
142,Before You Go,Lewis Capaldi,256432,2020-01-01,Wed,Jan
143,High Fashion (feat. Mustard),Roddy Ricch,256145,2020-01-01,Wed,Jan
144,If the World Was Ending - feat. Julia Michaels,JP Saxe,256049,2020-01-01,Wed,Jan
145,HUMBLE.,Kendrick Lamar,255129,2020-01-01,Wed,Jan
146,GATTI,"JACKBOYS, Pop Smoke, Travis Scott",252886,2020-01-01,Wed,Jan
147,My Type,Saweetie,252601,2020-01-01,Wed,Jan
148,Up All Night,Khalid,251849,2020-01-01,Wed,Jan
149,Immortal,21 Savage,250656,2020-01-01,Wed,Jan
150,Bad Bad Bad (feat. Lil Baby),Young Thug,250411,2020-01-01,Wed,Jan
151,MIA (feat. Drake),Bad Bunny,250410,2020-01-01,Wed,Jan
152,Millions,Young Thug,250258,2020-01-01,Wed,Jan
153,Eastside (with Halsey & Khalid),benny blanco,249753,2020-01-01,Wed,Jan
154,Pumped Up Kicks,Foster The People,249441,2020-01-01,Wed,Jan
155,Maniac,Conan Gray,249238,2020-01-01,Wed,Jan
156,One Thing Right,"Marshmello, Kane Brown",249008,2020-01-01,Wed,Jan
157,Heartless (feat. Morgan Wallen),Diplo,245994,2020-01-01,Wed,Jan
158,Congratulations,"Post Malone, Quavo",245855,2020-01-01,Wed,Jan
159,Shotta Flow (feat. Blueface) [Remix],NLE Choppa,245663,2020-01-01,Wed,Jan
160,Nice For What,Drake,245371,2020-01-01,Wed,Jan
161,Did It Again,Lil Tecca,244480,2020-01-01,Wed,Jan
162,LA CANCIÓN,"J Balvin, Bad Bunny",244158,2020-01-01,Wed,Jan
163,New Rules,Dua Lipa,242927,2020-01-01,Wed,Jan
164,Moonlight,XXXTENTACION,240439,2020-01-01,Wed,Jan
165,Havana (feat. Young Thug),Camila Cabello,240339,2020-01-01,Wed,Jan
166,BEST ON EARTH (feat. BIA) - Bonus,Russ,240043,2020-01-01,Wed,Jan
167,One Kiss (with Dua Lipa),Calvin Harris,236145,2020-01-01,Wed,Jan
168,Dancing With A Stranger (with Normani),Sam Smith,236121,2020-01-01,Wed,Jan
169,Envy Me,Calboy,235239,2020-01-01,Wed,Jan
170,bury a friend,Billie Eilish,234968,2020-01-01,Wed,Jan
171,You Need To Calm Down,Taylor Swift,233874,2020-01-01,Wed,Jan
172,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,233739,2020-01-01,Wed,Jan
173,Candy,Doja Cat,233338,2020-01-01,Wed,Jan
174,It's You,Ali Gatie,232735,2020-01-01,Wed,Jan
175,Faucet Failure,Ski Mask The Slump God,232493,2020-01-01,Wed,Jan
176,Mo Bamba,Sheck Wes,232486,2020-01-01,Wed,Jan
177,Motivation,Normani,230214,2020-01-01,Wed,Jan
178,Yes Indeed,"Lil Baby, Drake",230025,2020-01-01,Wed,Jan
179,One Man Band,Old Dominion,229637,2020-01-01,Wed,Jan
180,a lot,21 Savage,228949,2020-01-01,Wed,Jan
181,Famous Hoes,NLE Choppa,228317,2020-01-01,Wed,Jan
182,Graduation (with Juice WRLD),benny blanco,226880,2020-01-01,Wed,Jan
183,Fuck Love (feat. Trippie Redd),XXXTENTACION,225963,2020-01-01,Wed,Jan
184,Better,Khalid,223491,2020-01-01,Wed,Jan
185,ocean eyes,Billie Eilish,222510,2020-01-01,Wed,Jan
186,UP THE SMOKE (with Offset),Stunna 4 Vegas,222433,2020-01-01,Wed,Jan
187,How I Move (feat. Lil Baby),Flipp Dinero,221599,2020-01-01,Wed,Jan
188,The Less I Know The Better,Tame Impala,219983,2020-01-01,Wed,Jan
189,Saint-Tropez,Post Malone,219881,2020-01-01,Wed,Jan
190,No Role Modelz,J. Cole,218022,2020-01-01,Wed,Jan
191,Love Me More,Trippie Redd,216097,2020-01-01,Wed,Jan
192,Noticed,Lil Mosey,215674,2020-01-01,Wed,Jan
193,no tears left to cry,Ariana Grande,212711,2020-01-01,Wed,Jan
194,We Are Young (feat. Janelle Monáe),fun.,212534,2020-01-01,Wed,Jan
195,Beautiful Crazy,Luke Combs,212502,2020-01-01,Wed,Jan
196,Speechless,Dan + Shay,212418,2020-01-01,Wed,Jan
197,Paper Planes,M.I.A.,211588,2020-01-01,Wed,Jan
198,Slide,"H.E.R., YG",210099,2020-01-01,Wed,Jan
199,Whiskey Glasses,Morgan Wallen,209966,2020-01-01,Wed,Jan
200,All Me (feat. Keyshia Cole),Kehlani,209877,2020-01-01,Wed,Jan
1,The Box,Roddy Ricch,1964762,2020-01-02,Thu,Jan
2,ROXANNE,Arizona Zervas,1314246,2020-01-02,Thu,Jan
3,Circles,Post Malone,1162414,2020-01-02,Thu,Jan
4,BOP,DaBaby,1046860,2020-01-02,Thu,Jan
5,Falling,Trevor Daniel,1006501,2020-01-02,Thu,Jan
6,Bandit (with YoungBoy Never Broke Again),Juice WRLD,959264,2020-01-02,Thu,Jan
7,Dance Monkey,Tones And I,924138,2020-01-02,Thu,Jan
8,Futsal Shuffle 2020,Lil Uzi Vert,915770,2020-01-02,Thu,Jan
9,everything i wanted,Billie Eilish,830511,2020-01-02,Thu,Jan
10,Adore You,Harry Styles,819263,2020-01-02,Thu,Jan
11,Ballin' (with Roddy Ricch),Mustard,792558,2020-01-02,Thu,Jan
12,Suicidal,YNW Melly,762271,2020-01-02,Thu,Jan
13,Blinding Lights,The Weeknd,756177,2020-01-02,Thu,Jan
14,My Oh My (feat. DaBaby),Camila Cabello,727465,2020-01-02,Thu,Jan
15,Watermelon Sugar,Harry Styles,691459,2020-01-02,Thu,Jan
16,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",691152,2020-01-02,Thu,Jan
17,Don't Start Now,Dua Lipa,686826,2020-01-02,Thu,Jan
18,OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott",681454,2020-01-02,Thu,Jan
19,Someone You Loved,Lewis Capaldi,677711,2020-01-02,Thu,Jan
20,hot girl bummer,blackbear,673112,2020-01-02,Thu,Jan
21,Heartless,The Weeknd,653900,2020-01-02,Thu,Jan
22,Memories,Maroon 5,650853,2020-01-02,Thu,Jan
23,No Idea,Don Toliver,645151,2020-01-02,Thu,Jan
24,HIGHEST IN THE ROOM,Travis Scott,637710,2020-01-02,Thu,Jan
25,VIBEZ,DaBaby,589613,2020-01-02,Thu,Jan
26,Lose You To Love Me,Selena Gomez,588757,2020-01-02,Thu,Jan
27,Lucid Dreams,Juice WRLD,587147,2020-01-02,Thu,Jan
28,Woah,Lil Baby,582503,2020-01-02,Thu,Jan
29,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,582051,2020-01-02,Thu,Jan
30,bad guy,Billie Eilish,573523,2020-01-02,Thu,Jan
31,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,559417,2020-01-02,Thu,Jan
32,Suge,DaBaby,555167,2020-01-02,Thu,Jan
33,Robbery,Juice WRLD,542166,2020-01-02,Thu,Jan
34,Ransom,Lil Tecca,508837,2020-01-02,Thu,Jan
35,"10,000 Hours (with Justin Bieber)",Dan + Shay,497830,2020-01-02,Thu,Jan
36,Truth Hurts,Lizzo,493507,2020-01-02,Thu,Jan
37,Falling,Harry Styles,484551,2020-01-02,Thu,Jan
38,223's (feat. 9lokknine),YNW Melly,476721,2020-01-02,Thu,Jan
39,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,476471,2020-01-02,Thu,Jan
40,Señorita,"Shawn Mendes, Camila Cabello",466882,2020-01-02,Thu,Jan
41,Goodbyes (Feat. Young Thug),Post Malone,464277,2020-01-02,Thu,Jan
42,Stuck In A Dream (feat. Gunna),Lil Mosey,460937,2020-01-02,Thu,Jan
43,Had Enough (feat. Quavo & Offset),Don Toliver,456924,2020-01-02,Thu,Jan
44,Money In The Grave (Drake ft. Rick Ross),Drake,449438,2020-01-02,Thu,Jan
45,Death,"Trippie Redd, DaBaby",448299,2020-01-02,Thu,Jan
46,No Guidance (feat. Drake),Chris Brown,441728,2020-01-02,Thu,Jan
47,Wow.,Post Malone,435919,2020-01-02,Thu,Jan
48,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,434469,2020-01-02,Thu,Jan
49,SUGAR,BROCKHAMPTON,426477,2020-01-02,Thu,Jan
50,Yellow Hearts,Ant Saunders,415818,2020-01-02,Thu,Jan
51,MIDDLE CHILD,J. Cole,414626,2020-01-02,Thu,Jan
52,Start Wit Me (feat. Gunna),Roddy Ricch,406443,2020-01-02,Thu,Jan
53,WHAT TO DO? (feat. Don Toliver),"JACKBOYS, Travis Scott",397092,2020-01-02,Thu,Jan
54,Say So,Doja Cat,395300,2020-01-02,Thu,Jan
55,All Girls Are The Same,Juice WRLD,392413,2020-01-02,Thu,Jan
56,Beautiful People (feat. Khalid),Ed Sheeran,391562,2020-01-02,Thu,Jan
57,Lights Up,Harry Styles,391434,2020-01-02,Thu,Jan
58,when the party's over,Billie Eilish,391328,2020-01-02,Thu,Jan
59,Camelot,NLE Choppa,387041,2020-01-02,Thu,Jan
60,Make No Sense,YoungBoy Never Broke Again,381448,2020-01-02,Thu,Jan
61,July,Noah Cyrus,379285,2020-01-02,Thu,Jan
62,Let Me Know (I Wonder Why Freestyle),Juice WRLD,378839,2020-01-02,Thu,Jan
63,GANG GANG,"JACKBOYS, Sheck Wes",376396,2020-01-02,Thu,Jan
64,Legends,Juice WRLD,372839,2020-01-02,Thu,Jan
65,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,371679,2020-01-02,Thu,Jan
66,Hate Me (with Juice WRLD),Ellie Goulding,355872,2020-01-02,Thu,Jan
67,GOODMORNINGTOKYO!,TOKYO’S REVENGE,355856,2020-01-02,Thu,Jan
68,7 rings,Ariana Grande,355283,2020-01-02,Thu,Jan
69,Vete,Bad Bunny,354344,2020-01-02,Thu,Jan
70,Peta (feat. Meek Mill),Roddy Ricch,354188,2020-01-02,Thu,Jan
71,Baby (Lil Baby feat. DaBaby),Quality Control,346296,2020-01-02,Thu,Jan
72,SLOW DANCING IN THE DARK,Joji,345717,2020-01-02,Thu,Jan
73,If the World Was Ending - feat. Julia Michaels,JP Saxe,345063,2020-01-02,Thu,Jan
74,VALENTINO,24kGoldn,344053,2020-01-02,Thu,Jan
75,ORANGE SODA,BaKeem,343831,2020-01-02,Thu,Jan
76,Into the Unknown,"Idina Menzel, AURORA",343209,2020-01-02,Thu,Jan
77,SICKO MODE,Travis Scott,341736,2020-01-02,Thu,Jan
78,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,341141,2020-01-02,Thu,Jan
79,lovely (with Khalid),Billie Eilish,340615,2020-01-02,Thu,Jan
80,Murder On My Mind,YNW Melly,339951,2020-01-02,Thu,Jan
81,Pop Out (feat. Lil Tjay),Polo G,338953,2020-01-02,Thu,Jan
82,Graveyard,Halsey,337093,2020-01-02,Thu,Jan
83,The London (feat. J. Cole & Travis Scott),Young Thug,333074,2020-01-02,Thu,Jan
84,Before You Go,Lewis Capaldi,331525,2020-01-02,Thu,Jan
85,Drip Too Hard (Lil Baby & Gunna),Lil Baby,326784,2020-01-02,Thu,Jan
86,Tusa,"KAROL G, Nicki Minaj",326277,2020-01-02,Thu,Jan
87,rockstar (feat. 21 Savage),Post Malone,325847,2020-01-02,Thu,Jan
88,How Do You Sleep?,Sam Smith,324475,2020-01-02,Thu,Jan
89,6 Kiss,"Trippie Redd, Juice WRLD, YNW Melly",323997,2020-01-02,Thu,Jan
90,Enemies (feat. DaBaby),Post Malone,321923,2020-01-02,Thu,Jan
91,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,319724,2020-01-02,Thu,Jan
92,SAD!,XXXTENTACION,317701,2020-01-02,Thu,Jan
93,Going Bad (feat. Drake),Meek Mill,317586,2020-01-02,Thu,Jan
94,Trampoline,"SHAED, ZAYN",316018,2020-01-02,Thu,Jan
95,Talk (feat. Disclosure),Khalid,315405,2020-01-02,Thu,Jan
96,Up All Night,Khalid,312709,2020-01-02,Thu,Jan
97,EARFQUAKE,"Tyler, The Creator",311756,2020-01-02,Thu,Jan
98,Panini,Lil Nas X,309517,2020-01-02,Thu,Jan
99,Maniac,Conan Gray,308249,2020-01-02,Thu,Jan
100,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",308051,2020-01-02,Thu,Jan
101,F.N,Lil Tjay,307703,2020-01-02,Thu,Jan
102,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,307477,2020-01-02,Thu,Jan
103,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",306058,2020-01-02,Thu,Jan
104,Lalala,"Y2K, bbno$",305671,2020-01-02,Thu,Jan
105,I Fall Apart,Post Malone,305296,2020-01-02,Thu,Jan
106,Hot (feat. Gunna),Young Thug,304008,2020-01-02,Thu,Jan
107,I Don't Care (with Justin Bieber),Ed Sheeran,303909,2020-01-02,Thu,Jan
108,Better Now,Post Malone,303356,2020-01-02,Thu,Jan
109,Sucker,Jonas Brothers,301609,2020-01-02,Thu,Jan
110,Happier,"Marshmello, Bastille",297318,2020-01-02,Thu,Jan
111,High Fashion (feat. Mustard),Roddy Ricch,296793,2020-01-02,Thu,Jan
112,Armed And Dangerous,Juice WRLD,294626,2020-01-02,Thu,Jan
113,Heartless (feat. Morgan Wallen),Diplo,292883,2020-01-02,Thu,Jan
114,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,292798,2020-01-02,Thu,Jan
115,Jocelyn Flores,XXXTENTACION,286390,2020-01-02,Thu,Jan
116,One Thing Right,"Marshmello, Kane Brown",282696,2020-01-02,Thu,Jan
117,Cash Shit (feat. DaBaby),Megan Thee Stallion,281698,2020-01-02,Thu,Jan
118,Lean Wit Me,Juice WRLD,280350,2020-01-02,Thu,Jan
119,Ransom (with Juice WRLD) - Remix,Lil Tecca,279478,2020-01-02,Thu,Jan
120,One Man Band,Old Dominion,279355,2020-01-02,Thu,Jan
121,Heart On Ice,Rod Wave,279327,2020-01-02,Thu,Jan
122,Juicy,"Doja Cat, Tyga",279112,2020-01-02,Thu,Jan
123,Somebody,"Internet Money, Lil Tecca, A Boogie Wit da Hoodie",278621,2020-01-02,Thu,Jan
124,"thank u, next",Ariana Grande,277224,2020-01-02,Thu,Jan
125,Without Me,Halsey,276302,2020-01-02,Thu,Jan
126,It's You,Ali Gatie,271354,2020-01-02,Thu,Jan
127,GATTI,"JACKBOYS, Pop Smoke, Travis Scott",271305,2020-01-02,Thu,Jan
128,ocean eyes,Billie Eilish,269215,2020-01-02,Thu,Jan
129,Sanguine Paradise,Lil Uzi Vert,267724,2020-01-02,Thu,Jan
130,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,267113,2020-01-02,Thu,Jan
131,Mean It,"Lauv, LANY",265965,2020-01-02,Thu,Jan
132,Candy,Doja Cat,265121,2020-01-02,Thu,Jan
133,Look At Her Now,Selena Gomez,264661,2020-01-02,Thu,Jan
134,Panini - DaBaby Remix,Lil Nas X,262908,2020-01-02,Thu,Jan
135,Eastside (with Halsey & Khalid),benny blanco,262150,2020-01-02,Thu,Jan
136,Speechless,Dan + Shay,261786,2020-01-02,Thu,Jan
137,Hop Off A Jet (feat. Travis Scott),Young Thug,261379,2020-01-02,Thu,Jan
138,Immortal,21 Savage,260444,2020-01-02,Thu,Jan
139,XO Tour Llif3,Lil Uzi Vert,259948,2020-01-02,Thu,Jan
140,You Need To Calm Down,Taylor Swift,257291,2020-01-02,Thu,Jan
141,bury a friend,Billie Eilish,255352,2020-01-02,Thu,Jan
142,Hot Shower,"Chance the Rapper, MadeinTYO, DaBaby",254772,2020-01-02,Thu,Jan
143,Did It Again,Lil Tecca,252956,2020-01-02,Thu,Jan
144,goosebumps,Travis Scott,252792,2020-01-02,Thu,Jan
145,Beautiful Crazy,Luke Combs,251303,2020-01-02,Thu,Jan
146,Cherry,Harry Styles,251295,2020-01-02,Thu,Jan
147,Better,Khalid,251110,2020-01-02,Thu,Jan
148,Fuck Love (feat. Trippie Redd),XXXTENTACION,247406,2020-01-02,Thu,Jan
149,Good as Hell,Lizzo,247044,2020-01-02,Thu,Jan
150,Moonlight,XXXTENTACION,246530,2020-01-02,Thu,Jan
151,Millions,Young Thug,246369,2020-01-02,Thu,Jan
152,Golden,Harry Styles,246344,2020-01-02,Thu,Jan
153,High Hopes,Panic! At The Disco,245942,2020-01-02,Thu,Jan
154,Graduation (with Juice WRLD),benny blanco,242782,2020-01-02,Thu,Jan
155,Envy Me,Calboy,242586,2020-01-02,Thu,Jan
156,Love Me More,Trippie Redd,242239,2020-01-02,Thu,Jan
