name,n
Emma,"18,757"
Olivia,"17,993"
Ava,"14,975"
Isabella,"14,517"
Sophia,"13,972"
Charlotte,"12,998"
Mia,"12,697"
Amelia,"12,354"
Harper,"10,619"
Evelyn,"10,412"
Abigail,"9,848"
Emily,"8,689"
Elizabeth,"8,560"
Mila,"8,154"
Ella,"8,095"
Avery,"8,086"
Sofia,"7,645"
Camila,"7,500"
Aria,"7,417"
Scarlett,"7,205"
Victoria,"7,111"
Madison,"7,063"
Luna,"6,917"
Grace,"6,758"
Chloe,"6,653"
Penelope,"6,506"
Layla,"6,488"
Riley,"5,994"
Zoey,"5,921"
Nora,"5,831"
Lily,"5,732"
Eleanor,"5,717"
Hannah,"5,653"
Lillian,"5,553"
Addison,"5,216"
Ellie,"5,205"
Aubrey,"5,197"
Stella,"5,149"
Natalie,"5,110"
Zoe,"5,106"
Leah,"5,022"
Hazel,"4,938"
Violet,"4,816"
Aurora,"4,811"
Savannah,"4,757"
Audrey,"4,684"
Brooklyn,"4,631"
Bella,"4,549"
Claire,"4,399"
Skylar,"4,390"
Lucy,"4,370"
Paisley,"4,351"
Everly,"4,336"
Anna,"4,178"
Caroline,"4,158"
Nova,"4,155"
Genesis,"4,084"
Emilia,"4,035"
Kennedy,"3,934"
Willow,"3,913"
Samantha,"3,910"
Maya,"3,906"
Kinsley,"3,868"
Naomi,"3,840"
Aaliyah,"3,832"
Elena,"3,768"
Sarah,"3,759"
Ariana,"3,731"
Gabriella,"3,689"
Allison,"3,687"
Alice,"3,655"
Madelyn,"3,645"
Cora,"3,586"
Ruby,"3,571"
Eva,"3,555"
Serenity,"3,541"
Autumn,"3,490"
Adeline,"3,478"
Hailey,"3,461"
Gianna,"3,438"
Valentina,"3,432"
Isla,"3,406"
Eliana,"3,390"
Quinn,"3,383"
Nevaeh,"3,375"
Ivy,"3,273"
Sadie,"3,261"
Piper,"3,216"
Lydia,"3,201"
Alexa,"3,064"
Josephine,"3,041"
Emery,"3,001"
Julia,"3,000"
Delilah,"2,995"
Arianna,"2,969"
Vivian,"2,969"
Kaylee,"2,947"
Sophie,"2,940"
Brielle,"2,930"
Madeline,"2,909"
Peyton,"2,905"
Rylee,"2,898"
Clara,"2,889"
Hadley,"2,868"
Melanie,"2,847"
Mackenzie,"2,819"
Reagan,"2,811"
Adalynn,"2,810"
Liliana,"2,786"
Aubree,"2,779"
Jade,"2,689"
Katherine,"2,674"
Isabelle,"2,652"
Natalia,"2,622"
Maria,"2,610"
Raelynn,"2,610"
Athena,"2,590"
Ximena,"2,567"
Arya,"2,551"
Leilani,"2,513"
Taylor,"2,490"
Faith,"2,455"
Rose,"2,444"
Kylie,"2,423"
Alexandra,"2,403"
Mary,"2,349"
Margaret,"2,329"
Lyla,"2,301"
Ashley,"2,274"
Amaya,"2,266"
Eliza,"2,260"
Brianna,"2,238"
Bailey,"2,172"
Andrea,"2,163"
Khloe,"2,144"
Melody,"2,143"
Jasmine,"2,136"
Iris,"2,119"
Isabel,"2,062"
Norah,"2,009"
Valeria,"1,985"
Annabelle,"1,979"
Emerson,"1,942"
Adalyn,"1,933"
Ryleigh,"1,922"
Eden,"1,909"
Anastasia,"1,894"
Emersyn,"1,892"
Kayla,"1,884"
Alyssa,"1,875"
Esther,"1,849"
Juliana,"1,844"
Charlie,"1,842"
Ariel,"1,818"
Cecilia,"1,802"
Molly,"1,796"
Valerie,"1,796"
Alina,"1,795"
Reese,"1,792"
Aliyah,"1,769"
Lilly,"1,764"
Parker,"1,762"
Morgan,"1,756"
Finley,"1,755"
Sydney,"1,755"
Jordyn,"1,740"
Eloise,"1,738"
Trinity,"1,714"
Daisy,"1,709"
Genevieve,"1,706"
Sara,"1,706"
Kimberly,"1,703"
Lauren,"1,703"
Arabella,"1,693"
Harmony,"1,677"
Elise,"1,668"
Remi,"1,659"
Teagan,"1,647"
Alexis,"1,646"
London,"1,639"
Sloane,"1,630"
Laila,"1,616"
Diana,"1,608"
Lucia,"1,608"
Juliette,"1,607"
Sienna,"1,592"
Londyn,"1,585"
Elliana,"1,584"
Callie,"1,583"
Ayla,"1,581"
Gracie,"1,578"
Amara,"1,577"
Josie,"1,572"
Daniela,"1,558"
Jocelyn,"1,557"
Rachel,"1,554"
Everleigh,"1,553"
Mya,"1,553"
Summer,"1,538"
Alana,"1,529"
Brooke,"1,523"
Alaina,"1,519"
Mckenzie,"1,512"
Amy,"1,505"
Catherine,"1,503"
Presley,"1,494"
Journee,"1,488"
Ember,"1,467"
Rosalie,"1,465"
Brynlee,"1,459"
Rowan,"1,458"
Rebecca,"1,451"
Joanna,"1,450"
Paige,"1,450"
Ana,"1,446"
Sawyer,"1,428"
Mariah,"1,423"
Nicole,"1,422"
Brooklynn,"1,421"
Payton,"1,420"
Fiona,"1,414"
Georgia,"1,414"
Marley,"1,414"
Lila,"1,404"
Harley,"1,401"
Adelyn,"1,381"
Noelle,"1,379"
Gemma,"1,378"
Journey,"1,378"
Vanessa,"1,377"
Alivia,"1,375"
Angelina,"1,368"
Makayla,"1,368"
Adaline,"1,365"
Julianna,"1,361"
Catalina,"1,360"
Alayna,"1,359"
Lola,"1,359"
Leila,"1,356"
June,"1,349"
Adriana,"1,348"
Juliet,"1,344"
Jayla,"1,343"
River,"1,328"
Tessa,"1,324"
Lia,"1,317"
Dakota,"1,316"
Delaney,"1,312"
Selena,"1,310"
Blakely,"1,308"
Ada,"1,300"
Camille,"1,281"
Hope,"1,279"
Zara,"1,278"
Malia,"1,272"
Samara,"1,268"
Vera,"1,262"
Mckenna,"1,256"
Briella,"1,251"
Izabella,"1,249"
Hayden,"1,246"
Ruth,"1,245"
Raegan,"1,244"
Michelle,"1,241"
Angela,"1,239"
Freya,"1,238"
Kamila,"1,233"
Olive,"1,229"
Vivienne,"1,228"
Aspen,"1,226"
Kendall,"1,212"
Elaina,"1,209"
Thea,"1,206"
Destiny,"1,199"
Kali,"1,198"
Evangeline,"1,192"
Amiyah,"1,189"
Cali,"1,186"
Elsie,"1,186"
Blake,"1,183"
Juniper,"1,179"
Alexandria,"1,178"
Ariella,"1,165"
Myla,"1,164"
Kate,"1,160"
Mariana,"1,155"
Lilah,"1,151"
Charlee,"1,144"
Zuri,"1,131"
Nyla,"1,128"
Daleyza,"1,127"
Jane,"1,127"
Aniyah,"1,126"
Maggie,"1,126"
Lucille,"1,121"
Leia,"1,119"
Adelaide,"1,118"
Melissa,"1,115"
Amina,"1,114"
Giselle,"1,105"
Miriam,"1,103"
Lena,"1,100"
Camilla,"1,096"
Millie,"1,091"
Sage,"1,090"
Brynn,"1,086"
Gabrielle,"1,086"
Annie,"1,084"
Logan,"1,075"
Lilliana,"1,074"
Jessica,"1,064"
Haven,"1,062"
Kaia,"1,062"
Magnolia,"1,048"
Amira,"1,041"
Adelynn,"1,034"
Makenzie,"1,033"
Stephanie,"1,026"
Nina,"1,024"
Phoebe,"1,023"
Evie,"1,012"
Arielle,"1,011"
Lyric,"1,011"
Alessandra,"1,008"
Gabriela,999
Paislee,996
Raelyn,991
Madilyn,985
Makenna,984
Paris,984
Kinley,980
Talia,977
Gracelyn,976
Maeve,973
Rylie,967
