Country,Happiness,All types,Beer,Wine,Spirits,Other alcoholic beverages,Overall rank,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Cyprus,5.762,9.59,2.85,2.72,4.02,0,61,1.229,1.191,0.909,0.423,0.202,0.035
Bolivia,5.752,3.34,2.54,0.14,0.58,0.08,62,0.751,1.223,0.508,0.606,0.141,0.054
Estonia,5.739,11.2,3.58,1.89,4.62,1.11,63,1.2,1.532,0.737,0.553,0.086,0.174
Paraguay,5.681,6.02,3.24,1.1,1.6,0.07,64,0.835,1.522,0.615,0.541,0.162,0.074
Peru,5.663,5.3,3.06,0.43,1.8,0.01,65,0.934,1.249,0.674,0.53,0.092,0.034
Moldova,5.64,7.45,1.51,3.44,2.25,0.25,67,0.657,1.301,0.62,0.232,0.171,0.000
Turkmenistan,5.636,3.08,0.72,1.33,1.03,0,68,1.016,1.533,0.517,0.417,0.199,0.037
Hungary,5.62,10.79,3.96,3.33,3.5,0,69,1.171,1.401,0.732,0.259,0.061,0.022
Libya,5.566,0.01,0,0.01,0,0,70,0.985,1.35,0.553,0.496,0.116,0.148
Philippines,5.524,4.83,1.38,0.04,3.4,0.01,71,0.775,1.312,0.513,0.643,0.12,0.105
Honduras,5.504,2.73,1.49,0.02,1.21,0,72,0.62,1.205,0.622,0.459,0.197,0.074
Belarus,5.483,10.09,2.18,0.91,4.53,2.48,73,1.039,1.498,0.7,0.307,0.101,0.154
Turkey,5.483,1.43,0.82,0.17,0.44,0,74,1.148,1.38,0.686,0.324,0.106,0.109
Pakistan,5.472,0.05,0,0,0.04,0,75,0.652,0.81,0.424,0.334,0.216,0.113
Portugal,5.41,10.37,2.62,6.04,1.34,0.37,77,1.188,1.429,0.884,0.562,0.055,0.017
Serbia,5.398,7.35,3.02,1.72,2.38,0.24,78,0.975,1.369,0.685,0.288,0.134,0.043
Greece,5.358,6.1,1.99,2.63,1.4,0.09,79,1.154,1.202,0.879,0.131,0,0.044
Lebanon,5.358,1.33,0.44,0.24,0.63,0.02,80,0.965,1.179,0.785,0.503,0.214,0.136
Montenegro,5.347,9.29,3.45,2.56,3.15,0.13,81,1.017,1.279,0.729,0.259,0.111,0.081
Croatia,5.321,10.1,4.67,3.72,1.36,0.35,82,1.115,1.161,0.737,0.38,0.12,0.039
Dominican Republic,5.302,9.63,2.11,0.29,7.23,0,83,0.982,1.441,0.614,0.578,0.12,0.106
